,Title,Date,Time,No.of comments,Score,Upvote,Tickers
96,Someone say 200k CLOV YOLO,2021-10-11,2021-10-11 14:58:52,45,457,0.81,CLOV
97,33k yolo SDC not selling until I’m wealthy,2021-09-27,2021-09-27 23:42:16,108,456,0.84,SDC
98,"$24,269 CLOV YOLO. It’s Not Much But It’s Honest Work 🙈🙈🙈",2021-10-10,2021-10-10 22:13:26,82,454,0.81,CLOV
99,"Shit, here we go again: $200k in $CLOV shares plus $10k in $CLOV FDs",2021-10-11,2021-10-11 19:51:05,42,439,0.81,CLOV
100,"$SDC Day 2 ✌️ - Another PERFECT day! [Tech Analysis] 🔥, see Friday chart below.",2021-10-09,2021-10-09 03:16:09,111,437,0.87,SDC
101,"Blackberry EV, IoT Design Wins Update Part II and BB Twitter Clue",2021-10-15,2021-10-15 04:05:25,86,435,0.95,CAR
102,DD - value about $SDC,2021-10-13,2021-10-13 06:32:02,198,438,0.85,SDC
103,DD - value about $SDC,2021-10-13,2021-10-13 06:32:02,198,438,0.85,PROG
104,DD - value about $SDC,2021-10-13,2021-10-13 06:32:02,198,438,0.85,ALGN
105,DD - value about $SDC,2021-10-13,2021-10-13 06:32:02,198,438,0.85,XRAY
106,DD - value about $SDC,2021-10-13,2021-10-13 06:32:02,198,438,0.85,HSIC
107,"TSLA Q3 Results: ""Like Michael Burry in reverse, the diamond hands and hodlers of Tesla sit back – vindicated – as shorters run for the hills... If Tesla’s staggering progress in China amid extreme geopolitical tensions and regulatory pressure is anything to go by, maybe Elon Musk can do anything.""",2021-10-21,2021-10-21 17:43:23,145,461,0.91,TSLA
108,I have never been more Bullish on a stock more than I am in SDC. All in.,2021-09-25,2021-09-25 06:52:00,400,430,0.8,SDC
109,Life savings into $SAVA - I’m 21 so I need to become a millionaire asap so I can get a hot girlfriend,2021-10-14,2021-10-14 02:55:17,209,422,0.89,SAVA
110,SDC $25k YOLO,2021-10-08,2021-10-08 20:57:10,49,416,0.86,SDC
111,SDC $34K YOLO!!,2021-10-10,2021-10-10 08:15:29,127,416,0.89,SDC
112,YOLO update 9/30: here’s some fappable loss porn since you all hate $CLOV so much. i will sell this for over a milly 🍀💎🤲🏼,2021-10-01,2021-10-01 07:08:35,207,409,0.92,CLOV
113,SDC with my college loans and some margin 😎,2021-10-06,2021-10-06 06:16:33,103,408,0.81,SDC
114,I think you know what time it is.CLOV,2021-09-28,2021-09-28 03:55:29,157,416,0.79,CLOV
115,TSLA percentage gain porn,2021-09-27,2021-09-27 21:53:59,109,412,0.92,TSLA
116,"16,200 share CLOV YOLO 🚀🚀 Tomorrow moon bound 🌖",2021-10-11,2021-10-11 05:20:03,84,403,0.81,CLOV
117,Anyone buying a Tesla with their TSLA gains?,2021-10-15,2021-10-15 18:00:34,114,405,0.92,TSLA
118,Canoo CEO on his way to destroy the GOEV shorts,2021-09-26,2021-09-26 00:34:20,39,395,0.9,GOEV
119,A small D**k investment $SDC,2021-10-07,2021-10-07 15:31:05,77,391,0.88,SDC
120,Unrealized loss porn. Went all in on Context Logic $WISH because Zack Morris and buddies were screaming it was gonna blow. Now I’m stuck and watching $CEI from the sideline.,2021-09-30,2021-09-30 07:39:43,203,387,0.91,WISH
121,"Top trending tickers on WallStreetBets and why, a brand new list: SOFI, SDC, BB, FB, LCID",2021-09-23,2021-09-23 04:09:22,138,388,0.91,SOFI
122,"Top trending tickers on WallStreetBets and why, a brand new list: SOFI, SDC, BB, FB, LCID",2021-09-23,2021-09-23 04:09:22,138,388,0.91,SDC
123,"Top trending tickers on WallStreetBets and why, a brand new list: SOFI, SDC, BB, FB, LCID",2021-09-23,2021-09-23 04:09:22,138,388,0.91,FB
124,"Top trending tickers on WallStreetBets and why, a brand new list: SOFI, SDC, BB, FB, LCID",2021-09-23,2021-09-23 04:09:22,138,388,0.91,LCID
125,TSLA diamond hand flex. +12000%,2021-10-16,2021-10-16 03:24:06,39,387,0.92,TSLA
126,TLRY: The Perfect Buy,2021-10-05,2021-10-05 00:03:40,172,384,0.87,TLRY
127,I’m a retard that is going to become a super saiyan SDC 38k yolo 🚀🚀🚀🚀🚀,2021-10-07,2021-10-07 01:49:52,43,376,0.9,SDC
128,"Daily Popular Tickers Thread for September 23, 2021 - SDC | BB | SOFI",2021-09-23,2021-09-23 15:30:22,803,378,0.92,SDC
129,"Daily Popular Tickers Thread for September 23, 2021 - SDC | BB | SOFI",2021-09-23,2021-09-23 15:30:22,803,378,0.92,SOFI
130,Yo $TSLA Gang 🔋🚀🚀👩🏼‍🚀🦍🦧,2021-10-19,2021-10-19 03:26:25,63,375,0.93,TSLA
131,"$CLOV means $$$... time to eat ""bears""!!",2021-10-09,2021-10-09 20:58:04,135,367,0.82,CLOV
132,Sundial Growers(NASDAQ: SNDL) just announced they acquired Alcanna Inc. (TSX: CLIQ),2021-10-08,2021-10-08 06:11:24,117,364,0.89,SNDL
133,No idea what this company does just saw 🚀🚀🚀🚀 and bought (UPST),2021-10-17,2021-10-17 19:42:47,119,360,0.9,UPST
134,Another 10k onto $SDC Patiently waiting for 🤑🚀,2021-10-11,2021-10-11 23:22:19,76,364,0.81,SDC
135,SDC 🚀 in with another 38k. Available share to borrow dropped from 100k to 55k today.,2021-09-28,2021-09-28 01:45:16,100,365,0.82,SDC
136,8 Months Later,2021-10-05,2021-10-05 19:36:10,121,361,0.83,WISH
137,8 Months Later,2021-10-05,2021-10-05 19:36:10,121,361,0.83,CLOV
138,The day you realize you could by lots of $TSLA’s,2021-10-16,2021-10-16 19:20:44,45,359,0.93,TSLA
139,RKLB: Blasting Your Portfolio Into SPACE,2021-10-19,2021-10-19 19:04:18,132,355,0.88,ANY
140,$CLOV loss yolo 🙃! Adding as much as I can and won’t sell a single share! This shit will go to the fucking ♾♾♾♾!,2021-10-07,2021-10-07 06:34:31,115,354,0.82,CLOV
141,"Daily Popular Tickers Thread for September 30, 2021 - GME | SDC | LCID",2021-09-30,2021-09-30 15:30:17,876,346,0.92,SDC
142,"Daily Popular Tickers Thread for September 30, 2021 - GME | SDC | LCID",2021-09-30,2021-09-30 15:30:17,876,346,0.92,LCID
143,$TMC - SHEEP BEING LED TO SLAUGHTER,2021-09-23,2021-09-23 00:30:26,254,343,0.83,REAL
144,$CLOV YOLO Update .. one step at a time.... :),2021-10-15,2021-10-15 00:25:10,47,347,0.88,CLOV
145,Daddy Elon said I should never sell $TSLA gains,2021-10-20,2021-10-20 08:28:40,51,341,0.93,TSLA
146,$GME Unbiased TA - Another Nice Setup In The Works,2021-10-12,2021-10-12 01:10:15,80,340,0.85,TA
147,CRSR sit tight for the next high orbit flight 🚀🌕 (Big UPSIDE potential),2021-10-08,2021-10-08 22:37:49,99,339,0.89,CRSR
148,Short sellers: “Why is $GOEV blowing up?!” Answer:,2021-09-24,2021-09-24 23:01:08,33,338,0.89,GOEV
149,RIOT gains. $23k in a day after yolo post.,2021-10-05,2021-10-05 19:46:26,42,328,0.91,RIOT
150,Two great signs for sdc,2021-10-06,2021-10-06 19:44:52,83,327,0.86,SDC
151,Why is simple Dollar Cost Averaging still the king of all investment strategies? - Analyzing the last 3 decades of stock market data to find the best DCA strategy,2021-10-17,2021-10-17 18:39:33,80,330,0.94,API
152,CLOV $26K stock and options. OG holding my bag since April,2021-10-11,2021-10-11 14:25:21,18,326,0.82,CLOV
153,TLRY earnings October 7,2021-10-04,2021-10-04 13:54:59,75,317,0.96,TLRY
154,"Daily Popular Tickers Thread for September 22, 2021 - SDC | LCID | GME",2021-09-22,2021-09-22 15:30:23,1435,315,0.92,SDC
155,"Daily Popular Tickers Thread for September 22, 2021 - SDC | LCID | GME",2021-09-22,2021-09-22 15:30:23,1435,315,0.92,LCID
156,"Daily Popular Tickers Thread for October 06, 2021 - PLTR | SDC | GME",2021-10-06,2021-10-06 15:30:22,1383,311,0.94,SDC
157,$ROOT DD: Breakout Confirmed and High Probability Setup to be $15/share Price Target (+200% gain),2021-10-14,2021-10-14 21:29:34,101,308,0.82,ROOT
158,$ROOT DD: Breakout Confirmed and High Probability Setup to be $15/share Price Target (+200% gain),2021-10-14,2021-10-14 21:29:34,101,308,0.82,MVIS
159,$ROOT DD: Breakout Confirmed and High Probability Setup to be $15/share Price Target (+200% gain),2021-10-14,2021-10-14 21:29:34,101,308,0.82,CLOV
160,$ROOT DD: Breakout Confirmed and High Probability Setup to be $15/share Price Target (+200% gain),2021-10-14,2021-10-14 21:29:34,101,308,0.82,SDC
161,UWMC ready for liftoff,2021-10-10,2021-10-10 20:56:02,149,307,0.81,BOLT
162,SDC GAINZ 💰11k in a week,2021-10-07,2021-10-07 21:49:33,141,307,0.86,SDC
163,Weed stocks aren't over.,2021-10-13,2021-10-13 14:06:27,206,304,0.85,TLRY
164,Trading AMZN until I become a millionaire. First post,2021-10-21,2021-10-21 02:00:14,99,304,0.88,AMZN
165,7 figure $TSLA gain is finally back,2021-10-08,2021-10-08 06:41:52,63,302,0.91,TSLA
166,The story of Corsair $CRSR,2021-10-13,2021-10-13 22:32:35,97,299,0.9,CRSR
167,I $wish this is the bottom,2021-10-14,2021-10-14 21:56:54,108,298,0.94,WISH
168,The case for Cannabis grows. Inverse Jim Cramer with TLRY 10-20-21,2021-10-20,2021-10-20 17:24:24,44,297,0.92,TLRY
169,The case for Cannabis grows. Inverse Jim Cramer with TLRY 10-20-21,2021-10-20,2021-10-20 17:24:24,44,297,0.92,CGC
170,$SDC small dicks rise UP,2021-10-18,2021-10-18 20:10:55,77,292,0.87,SDC
171,Pineapple Express $CLOV and $BB Edition,2021-09-23,2021-09-23 04:26:56,22,294,0.9,CLOV
172,$CLOV YOLO “send my kids to college - or not” edition.,2021-09-22,2021-09-22 19:00:19,70,289,0.86,CLOV
173,"TSLA ATH close today! +$558,084.28 (+5,439.77%) Portfolio. Mostly TSLA Shares (since 2019) + options. Some FAANG and SPY. 💎🙌",2021-10-22,2021-10-22 03:20:07,90,562,0.96,TSLA
174,3 out of 4 times that $tsla has broken out of its current channel it has gone to the moon,2021-10-18,2021-10-18 12:56:30,64,287,0.89,TSLA
175,Running of the Memes Part 5 - Big Breakouts In Multiple Meme Stocks,2021-10-20,2021-10-20 00:45:38,59,281,0.94,TLRY
176,Running of the Memes Part 5 - Big Breakouts In Multiple Meme Stocks,2021-10-20,2021-10-20 00:45:38,59,281,0.94,CLNE
177,$SDC 25k yolo,2021-10-11,2021-10-11 22:11:41,32,272,0.83,SDC
178,PLAN FOR CHRISTMAS DISASTER AND BUY THE GAME DEVELOPERS,2021-10-18,2021-10-18 19:01:31,86,269,0.95,GAME
179,PLAN FOR CHRISTMAS DISASTER AND BUY THE GAME DEVELOPERS,2021-10-18,2021-10-18 19:01:31,86,269,0.95,VC
180,PLAN FOR CHRISTMAS DISASTER AND BUY THE GAME DEVELOPERS,2021-10-18,2021-10-18 19:01:31,86,269,0.95,TTWO
181,PLAN FOR CHRISTMAS DISASTER AND BUY THE GAME DEVELOPERS,2021-10-18,2021-10-18 19:01:31,86,269,0.95,EA
182,PLAN FOR CHRISTMAS DISASTER AND BUY THE GAME DEVELOPERS,2021-10-18,2021-10-18 19:01:31,86,269,0.95,ATVI
183,$WISH Loss Porn... From trader... to investor... to bagholder,2021-10-05,2021-10-05 01:39:37,156,268,0.92,WISH
184,AST SpaceMobile. The Black Swan of Low Earth Orbit satellite communication constellations. 🦢🦢🦢🦢🦢🦢🦢🦢🦢🦢 🦅 Why is it so different?,2021-09-25,2021-09-25 23:52:09,156,266,0.92,VSAT
185,AST SpaceMobile. The Black Swan of Low Earth Orbit satellite communication constellations. 🦢🦢🦢🦢🦢🦢🦢🦢🦢🦢 🦅 Why is it so different?,2021-09-25,2021-09-25 23:52:09,156,266,0.92,CAC
186,AST SpaceMobile. The Black Swan of Low Earth Orbit satellite communication constellations. 🦢🦢🦢🦢🦢🦢🦢🦢🦢🦢 🦅 Why is it so different?,2021-09-25,2021-09-25 23:52:09,156,266,0.92,GNSS
187,$TSLA to ATHs and your account can be too if you join in!!!!,2021-09-27,2021-09-27 06:45:41,168,268,0.82,TSLA
188,Which one of you geniuses keeps buying the $TSLA puts I sell?,2021-09-25,2021-09-25 20:10:52,106,260,0.94,TSLA
189,Joined SDC Gang,2021-10-14,2021-10-14 00:18:05,65,262,0.88,SDC
190,Where my $wish crew this week? If you’re not in $wish now is the time!,2021-10-03,2021-10-03 22:26:19,319,261,0.7,WISH
191,SDC YOLO FROM A EUROPEAN APE. SEE YOU AT THE MOON MY AMERICAN RETARD COUSINS!!,2021-09-25,2021-09-25 22:25:23,60,261,0.87,SDC
192,TLRY moves,2021-10-05,2021-10-05 23:51:46,118,260,0.95,TLRY
193,All in SDC added. Waiting for short squeeze.,2021-09-28,2021-09-28 20:50:48,118,260,0.78,SDC
194,Ya'll.ready? 😏 $SDC,2021-10-05,2021-10-05 13:25:56,76,257,0.84,SDC
195,Bought the dip in MSFT and eventually looked at my phone : Officially apart of the 6-figure club,2021-09-29,2021-09-29 01:12:15,85,255,0.94,MSFT
196,Every cent this goes up I make 69$ 🦷 SDC🦷,2021-09-29,2021-09-29 00:31:12,60,253,0.89,SDC
197,MARA gains 🪙 💥🚀😊,2021-10-17,2021-10-17 05:45:06,68,252,0.85,MARA
198,YOLO: CLOV All in. going sell once i hit $1M ...:),2021-10-02,2021-10-02 05:31:23,79,255,0.89,CLOV
199,Working my way towards a new Model Plaid. Casual $TSLA 1400% Gainz in an hour.,2021-10-21,2021-10-21 21:19:14,58,284,0.91,TSLA
200,"$SNDL, the next leader of cannabis",2021-10-08,2021-10-08 17:48:46,182,246,0.67,SNDL
201,$clov to moon . Yolo,2021-10-14,2021-10-14 21:13:56,59,246,0.82,CLOV
202,Here’s my resume…. $WISH $CLOV,2021-10-20,2021-10-20 00:48:53,56,249,0.91,WISH
203,Here’s my resume…. $WISH $CLOV,2021-10-20,2021-10-20 00:48:53,56,249,0.91,CLOV
